1	270102
1	270103
1	270105
1	270116
2	270102
2	270103
2	270105
2	270116
2	270110
3	270102
3	270104
3	270112
3	270103
4	270102
4	270103
4	270105
4	270113
5	270102
5	270103
5	270105
6	270102
6	270104
7	130408
8	270102
8	270103
8	270105
8	190205
9	270205
9	270206
9	190205
10	270102
10	190205
10	270206
11	270102
11	270103
11	270105
12	270102
12	270205
12	270206
13	130406
13	130407
13	130403
14	270102
14	270103
14	270105
15	270102
15	270103
15	270105
15	270104
15	270111
15	270112
15	270113
15	270206
16	270102
16	270103
16	270105
16	190205
16	270108
16	270106
17	270102
17	270103
17	270105
17	270107
17	270113
18	270102
18	270103
18	270105
18	270107
18	270113
18	270108
19	270102
19	270103
19	270105
19	270107
19	270113
19	270108
20	270102
20	270103
20	270105
20	270107
20	270113
21	270102
21	270103
21	270105
22	270102
22	270103
22	270105
22	270106
24	270102
24	270103
24	270105
24	270112
24	270107
25	270102
25	270103
25	270105
25	270106
25	270111
25	270110
26	270102
26	270103
26	270105
26	270111
26	270110
27	270102
27	270103
27	270105
27	270111
27	270110
27	270112
27	270113
28	270111
28	270110
28	270102
28	270103
28	270105
28	270112
28	270113
29	270111
29	270110
29	270113
29	270102
29	270103
30	270113
30	270111
30	270110
31	270205
31	270206
31	190205
32	270205
32	270206
32	190205
33	180302
33	270102
33	270104
33	190205
34	130403
34	130406
34	130407
35	130504
35	270102
35	270104
